               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
48,0.016299,0.019236,0,0.9712,0.97372,0.98918,0.69251,0.023837,0.013583,0,0.0094659,0.0094659,0.0094659
49,0.016144,0.019006,0,0.98261,0.97638,0.98715,0.71478,0.022863,0.013185,0,0.0094434,0.0094434,0.0094434
50,0.015975,0.018703,0,0.98932,0.97638,0.98567,0.70499,0.02244,0.013521,0,0.0094205,0.0094205,0.0094205
51,0.016389,0.018764,0,0.98531,0.97507,0.98799,0.70158,0.023329,0.01346,0,0.0093971,0.0093971,0.0093971
52,0.016016,0.018635,0,0.97889,0.97375,0.9857,0.71616,0.022546,0.013302,0,0.0093733,0.0093733,0.0093733
53,0.015693,0.018543,0,0.9815,0.97507,0.98671,0.71412,0.02225,0.013315,0,0.0093491,0.0093491,0.0093491
54,0.015987,0.018619,0,0.98789,0.96321,0.98642,0.70901,0.022394,0.01314,0,0.0093245,0.0093245,0.0093245
55,0.015868,0.018999,0,0.98146,0.97507,0.98593,0.72295,0.021927,0.013192,0,0.0092995,0.0092995,0.0092995
56,0.016191,0.018472,0,0.99197,0.97243,0.98651,0.72183,0.021915,0.013241,0,0.009274,0.009274,0.009274
57,0.015825,0.018572,0,0.98797,0.96974,0.98576,0.71958,0.022036,0.01335,0,0.0092481,0.0092481,0.0092481
58,0.015918,0.018743,0,0.98029,0.98031,0.986,0.71869,0.022324,0.013371,0,0.0092219,0.0092219,0.0092219
59,0.015953,0.018699,0,0.98926,0.97507,0.98578,0.71572,0.021597,0.013191,0,0.0091952,0.0091952,0.0091952
60,0.015533,0.018879,0,0.98674,0.97637,0.98649,0.7131,0.021957,0.013199,0,0.0091681,0.0091681,0.0091681
61,0.01582,0.01895,0,0.99059,0.97244,0.98645,0.7156,0.02197,0.013099,0,0.0091406,0.0091406,0.0091406
62,0.015601,0.018436,0,0.98153,0.97631,0.98813,0.72805,0.022064,0.013066,0,0.0091127,0.0091127,0.0091127
63,0.015656,0.018233,0,0.98795,0.96848,0.98652,0.72681,0.021786,0.013274,0,0.0090844,0.0090844,0.0090844
64,0.015744,0.01833,0,0.98663,0.97244,0.98697,0.71218,0.022097,0.013323,0,0.0090557,0.0090557,0.0090557
65,0.015282,0.018268,0,0.98936,0.97637,0.98637,0.73105,0.021806,0.013008,0,0.0090266,0.0090266,0.0090266
66,0.015666,0.018191,0,0.98923,0.96427,0.98616,0.71985,0.021937,0.01332,0,0.0089972,0.0089972,0.0089972
67,0.01559,0.018632,0,0.98806,0.97769,0.98622,0.72944,0.021185,0.01319,0,0.0089673,0.0089673,0.0089673
68,0.014966,0.018691,0,0.98021,0.975,0.98508,0.71586,0.022527,0.013607,0,0.0089371,0.0089371,0.0089371
69,0.015406,0.018094,0,0.97892,0.97486,0.98605,0.72214,0.021888,0.013564,0,0.0089065,0.0089065,0.0089065
70,0.015249,0.018552,0,0.97885,0.97244,0.98546,0.69615,0.022411,0.013568,0,0.0088755,0.0088755,0.0088755
71,0.015137,0.018011,0,0.99195,0.9698,0.98641,0.71975,0.021726,0.013418,0,0.0088442,0.0088442,0.0088442
72,0.014984,0.018117,0,0.98267,0.96718,0.98727,0.72285,0.021528,0.013343,0,0.0088124,0.0088124,0.0088124
73,0.015103,0.018057,0,0.98155,0.97765,0.98731,0.72176,0.021553,0.013353,0,0.0087804,0.0087804,0.0087804
74,0.015129,0.018458,0,0.99054,0.96191,0.9864,0.72,0.022386,0.013389,0,0.0087479,0.0087479,0.0087479
75,0.015124,0.018153,0,0.98026,0.979,0.98617,0.72434,0.021057,0.013228,0,0.0087151,0.0087151,0.0087151
76,0.014812,0.01807,0,0.98021,0.97638,0.98654,0.72559,0.021586,0.0134,0,0.008682,0.008682,0.008682
77,0.015077,0.017784,0,0.98662,0.97244,0.98628,0.72952,0.021014,0.013153,0,0.0086485,0.0086485,0.0086485
78,0.014882,0.018155,0,0.97253,0.979,0.98626,0.72505,0.021291,0.013268,0,0.0086146,0.0086146,0.0086146
79,0.014893,0.018217,0,0.98406,0.97244,0.98664,0.72824,0.021062,0.013233,0,0.0085805,0.0085805,0.0085805
80,0.014696,0.017787,0,0.98675,0.97766,0.98665,0.73072,0.020945,0.013047,0,0.0085459,0.0085459,0.0085459
81,0.0151,0.018083,0,0.98284,0.97737,0.98715,0.72028,0.021986,0.013387,0,0.0085111,0.0085111,0.0085111
82,0.014865,0.018287,0,0.98541,0.97638,0.98707,0.72463,0.021602,0.013445,0,0.0084759,0.0084759,0.0084759
83,0.014954,0.017585,0,0.98003,0.9685,0.98565,0.72275,0.022005,0.013767,0,0.0084404,0.0084404,0.0084404
84,0.015095,0.018203,0,0.97889,0.97371,0.98675,0.71915,0.021462,0.013286,0,0.0084046,0.0084046,0.0084046
85,0.014884,0.01827,0,0.98411,0.97505,0.9866,0.72404,0.021383,0.013309,0,0.0083684,0.0083684,0.0083684
86,0.014595,0.018049,0,0.97883,0.97244,0.98534,0.72959,0.021155,0.013277,0,0.0083319,0.0083319,0.0083319
87,0.015081,0.017809,0,0.98529,0.96718,0.98633,0.73079,0.021412,0.013211,0,0.0082952,0.0082952,0.0082952
88,0.014801,0.018084,0,0.97636,0.98031,0.98748,0.70984,0.022319,0.013348,0,0.0082581,0.0082581,0.0082581
89,0.014758,0.017482,0,0.99195,0.96981,0.9874,0.71987,0.022039,0.013187,0,0.0082207,0.0082207,0.0082207
90,0.014706,0.018004,0,0.99197,0.97233,0.98844,0.71999,0.022019,0.013189,0,0.008183,0.008183,0.008183
91,0.014429,0.018025,0,0.98413,0.97769,0.98767,0.7202,0.02199,0.013191,0,0.008145,0.008145,0.008145
92,0.01472,0.017731,0,0.98029,0.979,0.9877,0.71378,0.022282,0.013233,0,0.0081068,0.0081068,0.0081068
93,0.014535,0.018054,0,0.99329,0.9711,0.98878,0.72072,0.02173,0.013237,0,0.0080682,0.0080682,0.0080682
94,0.014749,0.018164,0,0.99061,0.97244,0.98628,0.71368,0.022212,0.013296,0,0.0080294,0.0080294,0.0080294
95,0.014271,0.01788,0,0.98406,0.97243,0.98527,0.72717,0.021171,0.013296,0,0.0079903,0.0079903,0.0079903
96,0.01449,0.017651,0,0.98029,0.97899,0.9854,0.71422,0.021598,0.013263,0,0.0079509,0.0079509,0.0079509
97,0.014516,0.017794,0,0.98806,0.979,0.9865,0.71815,0.022064,0.013388,0,0.0079112,0.0079112,0.0079112
98,0.014395,0.017677,0,0.988,0.9724,0.98516,0.72032,0.021596,0.013392,0,0.0078713,0.0078713,0.0078713
99,0.014362,0.017927,0,0.98154,0.97769,0.98564,0.71945,0.02151,0.013221,0,0.0078311,0.0078311,0.0078311
100,0.014167,0.017932,0,0.98406,0.97234,0.98533,0.72066,0.02148,0.013248,0,0.0077907,0.0077907,0.0077907
101,0.014174,0.017301,0,0.98537,0.97244,0.98801,0.72649,0.02124,0.013264,0,0.00775,0.00775,0.00775
102,0.014342,0.017836,0,0.9867,0.97373,0.98646,0.71936,0.021805,0.013279,0,0.0077091,0.0077091,0.0077091
103,0.014173,0.017362,0,0.99327,0.96831,0.9872,0.72154,0.021964,0.013259,0,0.0076679,0.0076679,0.0076679
104,0.014088,0.017449,0,0.98794,0.96982,0.98812,0.72442,0.021453,0.013157,0,0.0076265,0.0076265,0.0076265
105,0.014332,0.017442,0,0.97902,0.98163,0.98718,0.7319,0.021382,0.01294,0,0.0075848,0.0075848,0.0075848
106,0.014606,0.01748,0,0.98024,0.97769,0.98515,0.72409,0.021716,0.013117,0,0.007543,0.007543,0.007543
107,0.01387,0.01774,0,0.98797,0.96975,0.98576,0.73131,0.021188,0.013007,0,0.0075009,0.0075009,0.0075009
108,0.013963,0.017224,0,0.98672,0.979,0.98614,0.72268,0.021525,0.01323,0,0.0074585,0.0074585,0.0074585
109,0.014035,0.017571,0,0.98935,0.97505,0.98592,0.72663,0.021282,0.013162,0,0.007416,0.007416,0.007416
110,0.014201,0.017367,0,0.98414,0.97769,0.9864,0.7255,0.021097,0.012973,0,0.0073733,0.0073733,0.0073733
111,0.014127,0.017315,0,0.98413,0.97636,0.98619,0.73805,0.020612,0.01304,0,0.0073303,0.0073303,0.0073303
112,0.014154,0.017604,0,0.988,0.97227,0.98604,0.72096,0.021745,0.013164,0,0.0072872,0.0072872,0.0072872
113,0.014806,0.017466,0,0.98796,0.96982,0.98529,0.72697,0.020944,0.01324,0,0.0072438,0.0072438,0.0072438
114,0.014156,0.017745,0,0.98271,0.97769,0.98578,0.72115,0.021442,0.01329,0,0.0072003,0.0072003,0.0072003
115,0.013987,0.017161,0,0.98153,0.97632,0.98628,0.73457,0.021261,0.013283,0,0.0071566,0.0071566,0.0071566
116,0.013569,0.017178,0,0.98028,0.979,0.98567,0.74278,0.020847,0.013183,0,0.0071127,0.0071127,0.0071127
117,0.013625,0.017467,0,0.9854,0.97507,0.98663,0.74171,0.020604,0.013139,0,0.0070686,0.0070686,0.0070686
118,0.013908,0.017496,0,0.98275,0.97375,0.98648,0.73958,0.020419,0.012993,0,0.0070243,0.0070243,0.0070243
119,0.013691,0.017491,0,0.98677,0.97899,0.98511,0.73294,0.020705,0.013183,0,0.0069799,0.0069799,0.0069799
120,0.013842,0.016932,0,0.9803,0.98163,0.98531,0.72548,0.021444,0.013113,0,0.0069353,0.0069353,0.0069353
121,0.014029,0.017602,0,0.988,0.97242,0.98734,0.7324,0.020755,0.013007,0,0.0068906,0.0068906,0.0068906
122,0.013481,0.017379,0,0.9907,0.979,0.98811,0.7289,0.020952,0.013102,0,0.0068457,0.0068457,0.0068457
123,0.013669,0.017059,0,0.98417,0.97893,0.98824,0.7296,0.021271,0.012975,0,0.0068006,0.0068006,0.0068006
124,0.013494,0.017077,0,0.9816,0.98028,0.98833,0.73005,0.021184,0.013026,0,0.0067555,0.0067555,0.0067555
125,0.013654,0.0171,0,0.98287,0.979,0.98997,0.73072,0.020964,0.012947,0,0.0067101,0.0067101,0.0067101
126,0.013285,0.01701,0,0.98802,0.97372,0.99037,0.73398,0.020746,0.013084,0,0.0066647,0.0066647,0.0066647
127,0.013564,0.016969,0,0.98411,0.97638,0.98714,0.72969,0.02137,0.013296,0,0.0066191,0.0066191,0.0066191
128,0.013258,0.017118,0,0.98021,0.97769,0.9867,0.73341,0.020693,0.013017,0,0.0065734,0.0065734,0.0065734
129,0.013327,0.0171,0,0.97891,0.97507,0.98732,0.7263,0.020761,0.012863,0,0.0065276,0.0065276,0.0065276
130,0.013496,0.01711,0,0.98281,0.97638,0.98697,0.73255,0.02105,0.012923,0,0.0064816,0.0064816,0.0064816
131,0.013294,0.016627,0,0.98411,0.97506,0.98595,0.74124,0.020648,0.013024,0,0.0064356,0.0064356,0.0064356
132,0.013559,0.016737,0,0.98663,0.979,0.9878,0.7442,0.020635,0.013072,0,0.0063895,0.0063895,0.0063895
133,0.013573,0.016745,0,0.98671,0.97507,0.98663,0.7306,0.021174,0.013155,0,0.0063432,0.0063432,0.0063432
134,0.013545,0.016588,0,0.97903,0.9803,0.98659,0.73732,0.020578,0.013034,0,0.0062969,0.0062969,0.0062969
135,0.013265,0.016622,0,0.98419,0.98011,0.98715,0.73703,0.020724,0.012961,0,0.0062505,0.0062505,0.0062505
136,0.013295,0.016709,0,0.98803,0.979,0.98728,0.7333,0.020782,0.013128,0,0.006204,0.006204,0.006204
137,0.013238,0.017033,0,0.98417,0.979,0.98796,0.73977,0.020754,0.012975,0,0.0061574,0.0061574,0.0061574
138,0.012765,0.016845,0,0.98932,0.97242,0.98802,0.74379,0.020426,0.01301,0,0.0061107,0.0061107,0.0061107
139,0.012971,0.016445,0,0.98412,0.97769,0.98727,0.73735,0.020857,0.013118,0,0.006064,0.006064,0.006064
140,0.013063,0.016521,0,0.98541,0.97507,0.98765,0.73329,0.021199,0.013232,0,0.0060172,0.0060172,0.0060172
141,0.013238,0.01678,0,0.98662,0.96982,0.9864,0.7357,0.020958,0.013068,0,0.0059704,0.0059704,0.0059704
142,0.012977,0.01679,0,0.98803,0.97638,0.98675,0.73094,0.021012,0.012944,0,0.0059235,0.0059235,0.0059235
143,0.013057,0.0164,0,0.98542,0.97638,0.98664,0.73249,0.020966,0.013046,0,0.0058766,0.0058766,0.0058766
144,0.012997,0.016262,0,0.98537,0.979,0.98692,0.73529,0.020655,0.012873,0,0.0058296,0.0058296,0.0058296
145,0.012942,0.016604,0,0.98026,0.979,0.9874,0.73511,0.020657,0.012881,0,0.0057826,0.0057826,0.0057826
146,0.012919,0.016242,0,0.98034,0.98161,0.98685,0.7339,0.020896,0.013029,0,0.0057355,0.0057355,0.0057355
147,0.01305,0.016929,0,0.98806,0.97769,0.98731,0.73675,0.020884,0.013005,0,0.0056884,0.0056884,0.0056884
148,0.012769,0.01657,0,0.98932,0.97507,0.98641,0.73622,0.020978,0.013042,0,0.0056413,0.0056413,0.0056413
149,0.013016,0.016547,0,0.98528,0.97769,0.9871,0.74372,0.020316,0.012915,0,0.0055942,0.0055942,0.0055942
